"Year","Month","Geography_Type","Strata","Strata_Name","Cause","Cause_Desc","Count","Annotation_Code","Annotation_Desc"
1970,02,Occurrence,Age,25-34 years,ALL,All causes (total),280,,
1970,02,Occurrence,Age,35-44 years,ALL,All causes (total),511,,
1970,02,Occurrence,Age,45-54 years,ALL,All causes (total),1225,,
1970,02,Occurrence,Age,55-64 years,ALL,All causes (total),2093,,
1970,02,Occurrence,Age,65-74 years,ALL,All causes (total),2992,,
1970,02,Occurrence,Age,75-84 years,ALL,All causes (total),3435,,
1970,02,Occurrence,Age,85 years and over,ALL,All causes (total),1778,,
1970,02,Occurrence,Gender,Female,ALL,All causes (total),5936,,
1970,02,Occurrence,Gender,Male,ALL,All causes (total),7413,,
1970,02,Residence,Total Population,Total Population,ALL,All causes (total),13249,,
1970,02,Residence,Age,Under 1 year,ALL,All causes (total),490,,
1970,02,Residence,Age,1-4 years,ALL,All causes (total),81,,
1970,02,Residence,Age,5-14 years,ALL,All causes (total),121,,
1970,02,Residence,Age,15-24 years,ALL,All causes (total),339,,
1970,02,Residence,Age,25-34 years,ALL,All causes (total),275,,
1970,02,Residence,Age,35-44 years,ALL,All causes (total),517,,
1970,02,Residence,Age,45-54 years,ALL,All causes (total),1209,,
1970,02,Residence,Age,55-64 years,ALL,All causes (total),2080,,
1970,02,Residence,Age,65-74 years,ALL,All causes (total),2956,,
1970,02,Residence,Age,75-84 years,ALL,All causes (total),3399,,
1970,02,Residence,Age,85 years and over,ALL,All causes (total),1782,,
1970,02,Residence,Gender,Female,ALL,All causes (total),5899,,
1970,02,Residence,Gender,Male,ALL,All causes (total),7350,,
1970,03,Occurrence,Total Population,Total Population,ALL,All causes (total),14409,,
1970,03,Occurrence,Age,Under 1 year,ALL,All causes (total),495,,
1970,03,Occurrence,Age,1-4 years,ALL,All causes (total),92,,
1970,03,Occurrence,Age,5-14 years,ALL,All causes (total),120,,
1970,03,Occurrence,Age,15-24 years,ALL,All causes (total),377,,
1970,03,Occurrence,Age,25-34 years,ALL,All causes (total),312,,
1970,03,Occurrence,Age,35-44 years,ALL,All causes (total),615,,
1970,03,Occurrence,Age,45-54 years,ALL,All causes (total),1365,,
1970,03,Occurrence,Age,55-64 years,ALL,All causes (total),2352,,
1970,03,Occurrence,Age,65-74 years,ALL,All causes (total),3203,,
1970,03,Occurrence,Age,75-84 years,ALL,All causes (total),3547,,
1970,03,Occurrence,Age,85 years and over,ALL,All causes (total),1929,,
1970,03,Occurrence,Gender,Female,ALL,All causes (total),6436,,
1970,03,Occurrence,Gender,Male,ALL,All causes (total),7973,,
1970,03,Residence,Total Population,Total Population,ALL,All causes (total),14310,,
1970,03,Residence,Age,Under 1 year,ALL,All causes (total),492,,
1970,03,Residence,Age,1-4 years,ALL,All causes (total),92,,
1970,03,Residence,Age,5-14 years,ALL,All causes (total),122,,
1970,03,Residence,Age,15-24 years,ALL,All causes (total),374,,
1970,03,Residence,Age,25-34 years,ALL,All causes (total),312,,
1970,03,Residence,Age,35-44 years,ALL,All causes (total),613,,
1970,03,Residence,Age,45-54 years,ALL,All causes (total),1367,,
1970,03,Residence,Age,55-64 years,ALL,All causes (total),2331,,
1970,03,Residence,Age,65-74 years,ALL,All causes (total),3165,,
1970,03,Residence,Age,75-84 years,ALL,All causes (total),3518,,
1970,03,Residence,Age,85 years and over,ALL,All causes (total),1922,,
1970,03,Residence,Gender,Female,ALL,All causes (total),6396,,
1970,03,Residence,Gender,Male,ALL,All causes (total),7914,,
1970,04,Occurrence,Total Population,Total Population,ALL,All causes (total),13652,,
1970,04,Occurrence,Age,Under 1 year,ALL,All causes (total),505,,
1970,04,Occurrence,Age,1-4 years,ALL,All causes (total),92,,
1970,04,Occurrence,Age,5-14 years,ALL,All causes (total),129,,
1970,04,Occurrence,Age,15-24 years,ALL,All causes (total),366,,
1970,04,Occurrence,Age,25-34 years,ALL,All causes (total),308,,
1970,04,Occurrence,Age,35-44 years,ALL,All causes (total),548,,
1970,04,Occurrence,Age,45-54 years,ALL,All causes (total),1241,,
1970,04,Occurrence,Age,55-64 years,ALL,All causes (total),2226,,
1970,04,Occurrence,Age,65-74 years,ALL,All causes (total),2994,,
1970,04,Occurrence,Age,75-84 years,ALL,All causes (total),3373,,
1970,04,Occurrence,Age,85 years and over,ALL,All causes (total),1867,,
1970,04,Occurrence,Gender,Female,ALL,All causes (total),6036,,
1970,04,Occurrence,Gender,Male,ALL,All causes (total),7616,,
1970,04,Residence,Total Population,Total Population,ALL,All causes (total),13593,,
1970,04,Residence,Age,Under 1 year,ALL,All causes (total),504,,
1970,04,Residence,Age,1-4 years,ALL,All causes (total),92,,
1970,04,Residence,Age,5-14 years,ALL,All causes (total),124,,
1970,04,Residence,Age,15-24 years,ALL,All causes (total),359,,
1970,04,Residence,Age,25-34 years,ALL,All causes (total),311,,
1970,04,Residence,Age,35-44 years,ALL,All causes (total),543,,
1970,04,Residence,Age,45-54 years,ALL,All causes (total),1240,,
1970,04,Residence,Age,55-64 years,ALL,All causes (total),2218,,
1970,04,Residence,Age,65-74 years,ALL,All causes (total),2986,,
1970,04,Residence,Age,75-84 years,ALL,All causes (total),3350,,
1970,04,Residence,Age,85 years and over,ALL,All causes (total),1863,,
1970,04,Residence,Gender,Female,ALL,All causes (total),5997,,
1970,04,Residence,Gender,Male,ALL,All causes (total),7596,,
1970,05,Occurrence,Total Population,Total Population,ALL,All causes (total),14154,,
1970,05,Occurrence,Age,Under 1 year,ALL,All causes (total),580,,
1970,05,Occurrence,Age,1-4 years,ALL,All causes (total),108,,
1970,05,Occurrence,Age,5-14 years,ALL,All causes (total),124,,
1970,05,Occurrence,Age,15-24 years,ALL,All causes (total),452,,
1970,05,Occurrence,Age,25-34 years,ALL,All causes (total),353,,
1970,05,Occurrence,Age,35-44 years,ALL,All causes (total),553,,
1970,05,Occurrence,Age,45-54 years,ALL,All causes (total),1320,,
1970,05,Occurrence,Age,55-64 years,ALL,All causes (total),2179,,
1970,05,Occurrence,Age,65-74 years,ALL,All causes (total),3018,,
1970,05,Occurrence,Age,75-84 years,ALL,All causes (total),3538,,
1970,05,Occurrence,Age,85 years and over,ALL,All causes (total),1929,,
1970,05,Occurrence,Gender,Female,ALL,All causes (total),6263,,
1970,05,Occurrence,Gender,Male,ALL,All causes (total),7891,,
1970,05,Residence,Total Population,Total Population,ALL,All causes (total),14208,,
1970,05,Residence,Age,Under 1 year,ALL,All causes (total),574,,
1970,05,Residence,Age,1-4 years,ALL,All causes (total),110,,
1970,05,Residence,Age,5-14 years,ALL,All causes (total),126,,
1970,05,Residence,Age,15-24 years,ALL,All causes (total),444,,
1970,05,Residence,Age,25-34 years,ALL,All causes (total),359,,
1970,05,Residence,Age,35-44 years,ALL,All causes (total),553,,
1970,05,Residence,Age,45-54 years,ALL,All causes (total),1336,,
1970,05,Residence,Age,55-64 years,ALL,All causes (total),2192,,
1970,05,Residence,Age,65-74 years,ALL,All causes (total),3034,,
1970,05,Residence,Age,75-84 years,ALL,All causes (total),3554,,
1970,05,Residence,Age,85 years and over,ALL,All causes (total),1926,,
1970,05,Residence,Gender,Female,ALL,All causes (total),6275,,
1970,05,Residence,Gender,Male,ALL,All causes (total),7933,,
1970,06,Occurrence,Total Population,Total Population,ALL,All causes (total),12996,,
1970,06,Occurrence,Age,Under 1 year,ALL,All causes (total),531,,
1970,06,Occurrence,Age,1-4 years,ALL,All causes (total),98,,
1970,06,Occurrence,Age,5-14 years,ALL,All causes (total),144,,
1970,06,Occurrence,Age,15-24 years,ALL,All causes (total),370,,
1970,06,Occurrence,Age,25-34 years,ALL,All causes (total),348,,
1970,06,Occurrence,Age,35-44 years,ALL,All causes (total),554,,
1970,06,Occurrence,Age,45-54 years,ALL,All causes (total),1266,,
1970,06,Occurrence,Age,55-64 years,ALL,All causes (total),2062,,
1970,06,Occurrence,Age,65-74 years,ALL,All causes (total),2776,,
1970,06,Occurrence,Age,75-84 years,ALL,All causes (total),3175,,
1970,06,Occurrence,Age,85 years and over,ALL,All causes (total),1664,,
1970,06,Occurrence,Gender,Female,ALL,All causes (total),5814,,
1970,06,Occurrence,Gender,Male,ALL,All causes (total),7182,,
1970,06,Residence,Total Population,Total Population,ALL,All causes (total),13023,,
1970,06,Residence,Age,Under 1 year,ALL,All causes (total),534,,
1970,06,Residence,Age,1-4 years,ALL,All causes (total),101,,
1970,06,Residence,Age,5-14 years,ALL,All causes (total),142,,
1970,06,Residence,Age,15-24 years,ALL,All causes (total),367,,
1970,06,Residence,Age,25-34 years,ALL,All causes (total),353,,
1970,06,Residence,Age,35-44 years,ALL,All causes (total),560,,
1970,06,Residence,Age,45-54 years,ALL,All causes (total),1258,,
1970,06,Residence,Age,55-64 years,ALL,All causes (total),2067,,
1970,06,Residence,Age,65-74 years,ALL,All causes (total),2790,,
1970,06,Residence,Age,75-84 years,ALL,All causes (total),3177,,
1970,06,Residence,Age,85 years and over,ALL,All causes (total),1666,,
1970,06,Residence,Gender,Female,ALL,All causes (total),5827,,
1970,06,Residence,Gender,Male,ALL,All causes (total),7196,,
1970,07,Occurrence,Total Population,Total Population,ALL,All causes (total),13661,,
1970,07,Occurrence,Age,Under 1 year,ALL,All causes (total),524,,
1970,07,Occurrence,Age,1-4 years,ALL,All causes (total),90,,
1970,07,Occurrence,Age,5-14 years,ALL,All causes (total),142,,
1970,07,Occurrence,Age,15-24 years,ALL,All causes (total),479,,
1970,07,Occurrence,Age,25-34 years,ALL,All causes (total),345,,
1970,07,Occurrence,Age,35-44 years,ALL,All causes (total),555,,
1970,07,Occurrence,Age,45-54 years,ALL,All causes (total),1230,,
1970,07,Occurrence,Age,55-64 years,ALL,All causes (total),2157,,
1970,07,Occurrence,Age,65-74 years,ALL,All causes (total),2987,,
1970,07,Occurrence,Age,75-84 years,ALL,All causes (total),3402,,
1970,07,Occurrence,Age,85 years and over,ALL,All causes (total),1747,,
1970,07,Occurrence,Gender,Female,ALL,All causes (total),6034,,
1970,07,Occurrence,Gender,Male,ALL,All causes (total),7627,,
1970,07,Residence,Total Population,Total Population,ALL,All causes (total),13719,,
1970,07,Residence,Age,Under 1 year,ALL,All causes (total),522,,
1970,07,Residence,Age,1-4 years,ALL,All causes (total),93,,
1970,07,Residence,Age,5-14 years,ALL,All causes (total),144,,
1970,07,Residence,Age,15-24 years,ALL,All causes (total),482,,
1970,07,Residence,Age,25-34 years,ALL,All causes (total),352,,
1970,07,Residence,Age,35-44 years,ALL,All causes (total),557,,
1970,07,Residence,Age,45-54 years,ALL,All causes (total),1254,,
1970,07,Residence,Age,55-64 years,ALL,All causes (total),2146,,
1970,07,Residence,Age,65-74 years,ALL,All causes (total),2995,,
1970,07,Residence,Age,75-84 years,ALL,All causes (total),3421,,
1970,07,Residence,Age,85 years and over,ALL,All causes (total),1750,,
1970,07,Residence,Gender,Female,ALL,All causes (total),6059,,
1970,07,Residence,Gender,Male,ALL,All causes (total),7660,,
1970,08,Occurrence,Total Population,Total Population,ALL,All causes (total),13463,,
1970,08,Occurrence,Age,Under 1 year,ALL,All causes (total),571,,
1970,08,Occurrence,Age,1-4 years,ALL,All causes (total),101,,
1970,08,Occurrence,Age,5-14 years,ALL,All causes (total),134,,
1970,08,Occurrence,Age,15-24 years,ALL,All causes (total),443,,
1970,08,Occurrence,Age,25-34 years,ALL,All causes (total),364,,
1970,08,Occurrence,Age,35-44 years,ALL,All causes (total),570,,
1970,08,Occurrence,Age,45-54 years,ALL,All causes (total),1288,,
1970,08,Occurrence,Age,55-64 years,ALL,All causes (total),2108,,
1970,08,Occurrence,Age,65-74 years,ALL,All causes (total),2868,,
1970,08,Occurrence,Age,75-84 years,ALL,All causes (total),3207,,
1970,08,Occurrence,Age,85 years and over,ALL,All causes (total),1809,,
1970,08,Occurrence,Gender,Female,ALL,All causes (total),5910,,
1970,08,Occurrence,Gender,Male,ALL,All causes (total),7553,,
1970,08,Residence,Total Population,Total Population,ALL,All causes (total),13519,,
1970,08,Residence,Age,Under 1 year,ALL,All causes (total),574,,
1970,08,Residence,Age,1-4 years,ALL,All causes (total),103,,
1970,08,Residence,Age,5-14 years,ALL,All causes (total),138,,
1970,08,Residence,Age,15-24 years,ALL,All causes (total),453,,
1970,08,Residence,Age,25-34 years,ALL,All causes (total),362,,
1970,08,Residence,Age,35-44 years,ALL,All causes (total),567,,
1970,08,Residence,Age,45-54 years,ALL,All causes (total),1301,,
1970,08,Residence,Age,55-64 years,ALL,All causes (total),2109,,
1970,08,Residence,Age,65-74 years,ALL,All causes (total),2894,,
1970,08,Residence,Age,75-84 years,ALL,All causes (total),3213,,
1970,08,Residence,Age,85 years and over,ALL,All causes (total),1805,,
1970,08,Residence,Gender,Female,ALL,All causes (total),5920,,
1970,08,Residence,Gender,Male,ALL,All causes (total),7599,,
1970,09,Occurrence,Total Population,Total Population,ALL,All causes (total),13286,,
1970,09,Occurrence,Age,Under 1 year,ALL,All causes (total),512,,
1970,09,Occurrence,Age,1-4 years,ALL,All causes (total),83,,
1970,09,Occurrence,Age,5-14 years,ALL,All causes (total),114,,
1970,09,Occurrence,Age,15-24 years,ALL,All causes (total),436,,
1970,09,Occurrence,Age,25-34 years,ALL,All causes (total),333,,
1970,09,Occurrence,Age,35-44 years,ALL,All causes (total),577,,
1970,09,Occurrence,Age,45-54 years,ALL,All causes (total),1268,,
1970,09,Occurrence,Age,55-64 years,ALL,All causes (total),2080,,
1970,09,Occurrence,Age,65-74 years,ALL,All causes (total),2884,,
1970,09,Occurrence,Age,75-84 years,ALL,All causes (total),3236,,
1970,09,Occurrence,Age,85 years and over,ALL,All causes (total),1763,,
1970,09,Occurrence,Gender,Female,ALL,All causes (total),5926,,
1970,09,Occurrence,Gender,Male,ALL,All causes (total),7360,,
1970,09,Residence,Total Population,Total Population,ALL,All causes (total),13355,,
1970,09,Residence,Age,Under 1 year,ALL,All causes (total),514,,
1970,09,Residence,Age,1-4 years,ALL,All causes (total),80,,
1970,09,Residence,Age,5-14 years,ALL,All causes (total),117,,
1970,09,Residence,Age,15-24 years,ALL,All causes (total),437,,
1970,09,Residence,Age,25-34 years,ALL,All causes (total),338,,
1970,09,Residence,Age,35-44 years,ALL,All causes (total),574,,
1970,09,Residence,Age,45-54 years,ALL,All causes (total),1283,,
1970,09,Residence,Age,55-64 years,ALL,All causes (total),2094,,
1970,09,Residence,Age,65-74 years,ALL,All causes (total),2891,,
1970,09,Residence,Age,75-84 years,ALL,All causes (total),3247,,
1970,09,Residence,Age,85 years and over,ALL,All causes (total),1779,,
1970,09,Residence,Gender,Female,ALL,All causes (total),5954,,
1970,09,Residence,Gender,Male,ALL,All causes (total),7401,,
1970,10,Occurrence,Total Population,Total Population,ALL,All causes (total),13666,,
1970,10,Occurrence,Age,Under 1 year,ALL,All causes (total),507,,
1970,10,Occurrence,Age,1-4 years,ALL,All causes (total),74,,
1970,10,Occurrence,Age,5-14 years,ALL,All causes (total),118,,
1970,10,Occurrence,Age,15-24 years,ALL,All causes (total),371,,
1970,10,Occurrence,Age,25-34 years,ALL,All causes (total),346,,
1970,10,Occurrence,Age,35-44 years,ALL,All causes (total),545,,
1970,10,Occurrence,Age,45-54 years,ALL,All causes (total),1318,,
1970,10,Occurrence,Age,55-64 years,ALL,All causes (total),2166,,
1970,10,Occurrence,Age,65-74 years,ALL,All causes (total),2961,,
1970,10,Occurrence,Age,75-84 years,ALL,All causes (total),3413,,
1970,10,Occurrence,Age,85 years and over,ALL,All causes (total),1843,,
1970,10,Occurrence,Gender,Female,ALL,All causes (total),6179,,
1970,10,Occurrence,Gender,Male,ALL,All causes (total),7487,,
1970,10,Residence,Total Population,Total Population,ALL,All causes (total),13714,,
1970,10,Residence,Age,Under 1 year,ALL,All causes (total),508,,
1970,10,Residence,Age,1-4 years,ALL,All causes (total),74,,
1970,10,Residence,Age,5-14 years,ALL,All causes (total),114,,
1970,10,Residence,Age,15-24 years,ALL,All causes (total),374,,
1970,10,Residence,Age,25-34 years,ALL,All causes (total),345,,
1970,10,Residence,Age,35-44 years,ALL,All causes (total),549,,
1970,10,Residence,Age,45-54 years,ALL,All causes (total),1321,,
1970,10,Residence,Age,55-64 years,ALL,All causes (total),2177,,
1970,10,Residence,Age,65-74 years,ALL,All causes (total),2976,,
1970,10,Residence,Age,75-84 years,ALL,All causes (total),3432,,
1970,10,Residence,Age,85 years and over,ALL,All causes (total),1840,,
1970,10,Residence,Gender,Female,ALL,All causes (total),6192,,
1970,10,Residence,Gender,Male,ALL,All causes (total),7522,,
1970,11,Occurrence,Total Population,Total Population,ALL,All causes (total),13682,,
1970,11,Occurrence,Age,Under 1 year,ALL,All causes (total),481,,
1970,11,Occurrence,Age,1-4 years,ALL,All causes (total),80,,
1970,11,Occurrence,Age,5-14 years,ALL,All causes (total),104,,
1970,11,Occurrence,Age,15-24 years,ALL,All causes (total),369,,
1970,11,Occurrence,Age,25-34 years,ALL,All causes (total),335,,
1970,11,Occurrence,Age,35-44 years,ALL,All causes (total),558,,
1970,11,Occurrence,Age,45-54 years,ALL,All causes (total),1288,,
1970,11,Occurrence,Age,55-64 years,ALL,All causes (total),2166,,
1970,11,Occurrence,Age,65-74 years,ALL,All causes (total),2966,,
1970,11,Occurrence,Age,75-84 years,ALL,All causes (total),3447,,
1970,11,Occurrence,Age,85 years and over,ALL,All causes (total),1885,,
1970,11,Occurrence,Gender,Female,ALL,All causes (total),6216,,
1970,11,Occurrence,Gender,Male,ALL,All causes (total),7466,,
1970,11,Residence,Total Population,Total Population,ALL,All causes (total),13642,,
1970,11,Residence,Age,Under 1 year,ALL,All causes (total),478,,
1970,11,Residence,Age,1-4 years,ALL,All causes (total),80,,
1970,11,Residence,Age,5-14 years,ALL,All causes (total),104,,
1970,11,Residence,Age,15-24 years,ALL,All causes (total),373,,
1970,11,Residence,Age,25-34 years,ALL,All causes (total),331,,
1970,11,Residence,Age,35-44 years,ALL,All causes (total),557,,
1970,11,Residence,Age,45-54 years,ALL,All causes (total),1290,,
1970,11,Residence,Age,55-64 years,ALL,All causes (total),2163,,
1970,11,Residence,Age,65-74 years,ALL,All causes (total),2932,,
1970,11,Residence,Age,75-84 years,ALL,All causes (total),3445,,
1970,11,Residence,Age,85 years and over,ALL,All causes (total),1886,,
1970,11,Residence,Gender,Female,ALL,All causes (total),6202,,
1970,11,Residence,Gender,Male,ALL,All causes (total),7440,,
1970,12,Occurrence,Total Population,Total Population,ALL,All causes (total),14881,,
1970,12,Occurrence,Age,Under 1 year,ALL,All causes (total),541,,
1970,12,Occurrence,Age,1-4 years,ALL,All causes (total),67,,
1970,12,Occurrence,Age,5-14 years,ALL,All causes (total),109,,
1970,12,Occurrence,Age,15-24 years,ALL,All causes (total),386,,
1970,12,Occurrence,Age,25-34 years,ALL,All causes (total),321,,
1970,12,Occurrence,Age,35-44 years,ALL,All causes (total),541,,
1970,12,Occurrence,Age,45-54 years,ALL,All causes (total),1408,,
1970,12,Occurrence,Age,55-64 years,ALL,All causes (total),2310,,
1970,12,Occurrence,Age,65-74 years,ALL,All causes (total),3357,,
1970,12,Occurrence,Age,75-84 years,ALL,All causes (total),3734,,
1970,12,Occurrence,Age,85 years and over,ALL,All causes (total),2102,,
1970,12,Occurrence,Gender,Female,ALL,All causes (total),6706,,
1970,12,Occurrence,Gender,Male,ALL,All causes (total),8175,,
1970,12,Residence,Total Population,Total Population,ALL,All causes (total),14808,,
1970,12,Residence,Age,Under 1 year,ALL,All causes (total),537,,
1970,12,Residence,Age,1-4 years,ALL,All causes (total),67,,
1970,12,Residence,Age,5-14 years,ALL,All causes (total),106,,
1970,12,Residence,Age,15-24 years,ALL,All causes (total),389,,
1970,12,Residence,Age,25-34 years,ALL,All causes (total),321,,
1970,12,Residence,Age,35-44 years,ALL,All causes (total),545,,
1970,12,Residence,Age,45-54 years,ALL,All causes (total),1411,,
1970,12,Residence,Age,55-64 years,ALL,All causes (total),2293,,
1970,12,Residence,Age,65-74 years,ALL,All causes (total),3330,,
1970,12,Residence,Age,75-84 years,ALL,All causes (total),3711,,
1970,12,Residence,Age,85 years and over,ALL,All causes (total),2093,,
1970,12,Residence,Gender,Female,ALL,All causes (total),6673,,
1970,12,Residence,Gender,Male,ALL,All causes (total),8135,,
1971,01,Occurrence,Total Population,Total Population,ALL,All causes (total),15724,,
1971,01,Occurrence,Age,Under 1 year,ALL,All causes (total),525,,
1971,01,Occurrence,Age,1-4 years,ALL,All causes (total),74,,
1971,01,Occurrence,Age,5-14 years,ALL,All causes (total),117,,
1971,01,Occurrence,Age,15-24 years,ALL,All causes (total),409,,
1971,01,Occurrence,Age,25-34 years,ALL,All causes (total),344,,
1971,01,Occurrence,Age,35-44 years,ALL,All causes (total),567,,
1971,01,Occurrence,Age,45-54 years,ALL,All causes (total),1365,,
1971,01,Occurrence,Age,55-64 years,ALL,All causes (total),2507,,
1971,01,Occurrence,Age,65-74 years,ALL,All causes (total),3535,,
1971,01,Occurrence,Age,75-84 years,ALL,All causes (total),3959,,
1971,01,Occurrence,Age,85 years and over,ALL,All causes (total),2322,,
1971,01,Occurrence,Gender,Female,ALL,All causes (total),7054,,
1971,01,Occurrence,Gender,Male,ALL,All causes (total),8670,,
1971,01,Residence,Total Population,Total Population,ALL,All causes (total),15637,,
1971,01,Residence,Age,Under 1 year,ALL,All causes (total),526,,
1971,01,Residence,Age,1-4 years,ALL,All causes (total),75,,
1971,01,Residence,Age,5-14 years,ALL,All causes (total),115,,
1971,01,Residence,Age,15-24 years,ALL,All causes (total),417,,
1971,01,Residence,Age,25-34 years,ALL,All causes (total),344,,
1971,01,Residence,Age,35-44 years,ALL,All causes (total),573,,
1971,01,Residence,Age,45-54 years,ALL,All causes (total),1362,,
1971,01,Residence,Age,55-64 years,ALL,All causes (total),2502,,
1971,01,Residence,Age,65-74 years,ALL,All causes (total),3478,,
1971,01,Residence,Age,75-84 years,ALL,All causes (total),3926,,
1971,01,Residence,Age,85 years and over,ALL,All causes (total),2319,,
1971,01,Residence,Gender,Female,ALL,All causes (total),7026,,
1971,01,Residence,Gender,Male,ALL,All causes (total),8611,,
1971,02,Occurrence,Total Population,Total Population,ALL,All causes (total),13786,,
1971,02,Occurrence,Age,Under 1 year,ALL,All causes (total),453,,
1971,02,Occurrence,Age,1-4 years,ALL,All causes (total),70,,
1971,02,Occurrence,Age,5-14 years,ALL,All causes (total),95,,
1971,02,Occurrence,Age,15-24 years,ALL,All causes (total),341,,
1971,02,Occurrence,Age,25-34 years,ALL,All causes (total),333,,
1971,02,Occurrence,Age,35-44 years,ALL,All causes (total),497,,
1971,02,Occurrence,Age,45-54 years,ALL,All causes (total),1290,,
1971,02,Occurrence,Age,55-64 years,ALL,All causes (total),2252,,
1971,02,Occurrence,Age,65-74 years,ALL,All causes (total),2998,,
1971,02,Occurrence,Age,75-84 years,ALL,All causes (total),3507,,
1971,02,Occurrence,Age,85 years and over,ALL,All causes (total),1948,,
1971,02,Occurrence,Gender,Female,ALL,All causes (total),6159,,
1971,02,Occurrence,Gender,Male,ALL,All causes (total),7627,,
1971,02,Residence,Total Population,Total Population,ALL,All causes (total),13701,,
1971,02,Residence,Age,Under 1 year,ALL,All causes (total),453,,
1971,02,Residence,Age,1-4 years,ALL,All causes (total),69,,
1971,02,Residence,Age,5-14 years,ALL,All causes (total),95,,
1971,02,Residence,Age,15-24 years,ALL,All causes (total),343,,
1971,02,Residence,Age,25-34 years,ALL,All causes (total),337,,
1971,02,Residence,Age,35-44 years,ALL,All causes (total),495,,
1971,02,Residence,Age,45-54 years,ALL,All causes (total),1291,,
1971,02,Residence,Age,55-64 years,ALL,All causes (total),2247,,
1971,02,Residence,Age,65-74 years,ALL,All causes (total),2948,,
1971,02,Residence,Age,75-84 years,ALL,All causes (total),3483,,
1971,02,Residence,Age,85 years and over,ALL,All causes (total),1937,,
1971,02,Residence,Gender,Female,ALL,All causes (total),6135,,
1971,02,Residence,Gender,Male,ALL,All causes (total),7566,,
1971,03,Occurrence,Total Population,Total Population,ALL,All causes (total),15441,,
1971,03,Occurrence,Age,Under 1 year,ALL,All causes (total),486,,
1971,03,Occurrence,Age,1-4 years,ALL,All causes (total),72,,
1971,03,Occurrence,Age,5-14 years,ALL,All causes (total),117,,
1971,03,Occurrence,Age,15-24 years,ALL,All causes (total),380,,
1971,03,Occurrence,Age,25-34 years,ALL,All causes (total),342,,
1971,03,Occurrence,Age,35-44 years,ALL,All causes (total),609,,
1971,03,Occurrence,Age,45-54 years,ALL,All causes (total),1431,,
1971,03,Occurrence,Age,55-64 years,ALL,All causes (total),2475,,
1971,03,Occurrence,Age,65-74 years,ALL,All causes (total),3455,,
1971,03,Occurrence,Age,75-84 years,ALL,All causes (total),3849,,
1971,03,Occurrence,Age,85 years and over,ALL,All causes (total),2219,,
1971,03,Occurrence,Gender,Female,ALL,All causes (total),6942,,
1971,03,Occurrence,Gender,Male,ALL,All causes (total),8499,,
1971,03,Residence,Total Population,Total Population,ALL,All causes (total),15372,,
1971,03,Residence,Age,Under 1 year,ALL,All causes (total),489,,
1971,03,Residence,Age,1-4 years,ALL,All causes (total),70,,
1971,03,Residence,Age,5-14 years,ALL,All causes (total),120,,
1971,03,Residence,Age,15-24 years,ALL,All causes (total),376,,
1971,03,Residence,Age,25-34 years,ALL,All causes (total),337,,
1971,03,Residence,Age,35-44 years,ALL,All causes (total),609,,
1971,03,Residence,Age,45-54 years,ALL,All causes (total),1438,,
1971,03,Residence,Age,55-64 years,ALL,All causes (total),2473,,
