"Year","Geography_Type","Strata","Strata_Name","Cause","Cause_Desc","Count","Annotation_Code","Annotation_Desc"
1999,Occurrence,Total Population,Total Population,NEP,"Nephritis, nephrotic syndrome and nephrosis",1742,,
1999,Occurrence,Gender,Female,NEP,"Nephritis, nephrotic syndrome and nephrosis",851,,
1999,Occurrence,Gender,Male,NEP,"Nephritis, nephrotic syndrome and nephrosis",891,,
1999,Occurrence,Total Population,Total Population,PAR,Parkinson's disease,1399,,
1999,Occurrence,Gender,Female,PAR,Parkinson's disease,577,,
1999,Occurrence,Gender,Male,PAR,Parkinson's disease,822,,
1999,Occurrence,Total Population,Total Population,PNF,Influenza and pneumonia,8060,,
1999,Occurrence,Gender,Female,PNF,Influenza and pneumonia,4567,,
1999,Occurrence,Gender,Male,PNF,Influenza and pneumonia,3493,,
1999,Occurrence,Total Population,Total Population,STK,Cerebrovascular diseases,18218,,
1999,Occurrence,Gender,Female,STK,Cerebrovascular diseases,10893,,
1999,Occurrence,Gender,Male,STK,Cerebrovascular diseases,7325,,
1999,Occurrence,Total Population,Total Population,SUI,Intentional self-harm (suicide),3078,,
1999,Occurrence,Gender,Female,SUI,Intentional self-harm (suicide),653,,
1999,Occurrence,Gender,Male,SUI,Intentional self-harm (suicide),2425,,
1999,Residence,Total Population,Total Population,ALL,All causes (total),227965,,
1999,Residence,Age,Under 1 year,ALL,All causes (total),2787,,
1999,Residence,Age,1-4 years,ALL,All causes (total),595,,
1999,Residence,Age,5-14 years,ALL,All causes (total),793,,
1999,Residence,Age,15-24 years,ALL,All causes (total),3018,,
1999,Residence,Age,25-34 years,ALL,All causes (total),4296,,
1999,Residence,Age,35-44 years,ALL,All causes (total),9109,,
1999,Residence,Age,45-54 years,ALL,All causes (total),15907,,
1999,Residence,Age,55-64 years,ALL,All causes (total),22454,,
1999,Residence,Age,65-74 years,ALL,All causes (total),41620,,
1999,Residence,Age,75-84 years,ALL,All causes (total),66388,,
1999,Residence,Age,85 years and over,ALL,All causes (total),60926,,
1999,Residence,Gender,Female,ALL,All causes (total),114341,,
1999,Residence,Gender,Male,ALL,All causes (total),113624,,
1999,Residence,Total Population,Total Population,ALZ,Alzheimer's disease,3934,,
1999,Residence,Gender,Female,ALZ,Alzheimer's disease,2675,,
1999,Residence,Gender,Male,ALZ,Alzheimer's disease,1259,,
1999,Residence,Total Population,Total Population,CAN,Malignant neoplasms,52880,,
1999,Residence,Gender,Female,CAN,Malignant neoplasms,25815,,
1999,Residence,Gender,Male,CAN,Malignant neoplasms,27065,,
1999,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,13187,,
1999,Residence,Gender,Female,CLD,Chronic lower respiratory diseases,6901,,
1999,Residence,Gender,Male,CLD,Chronic lower respiratory diseases,6286,,
1999,Residence,Total Population,Total Population,DIA,Diabetes mellitus,6004,,
1999,Residence,Gender,Female,DIA,Diabetes mellitus,3234,,
1999,Residence,Gender,Male,DIA,Diabetes mellitus,2770,,
1999,Residence,Total Population,Total Population,HOM,Assault (homicide),2042,,
1999,Residence,Gender,Female,HOM,Assault (homicide),416,,
1999,Residence,Gender,Male,HOM,Assault (homicide),1626,,
1999,Residence,Total Population,Total Population,HTD,Diseases of heart,69900,,
1999,Residence,Gender,Female,HTD,Diseases of heart,35773,,
1999,Residence,Gender,Male,HTD,Diseases of heart,34127,,
1999,Residence,Total Population,Total Population,HYP,Essential hypertension and hypertensive renal disease,1879,,
1999,Residence,Gender,Female,HYP,Essential hypertension and hypertensive renal disease,1110,,
1999,Residence,Gender,Male,HYP,Essential hypertension and hypertensive renal disease,769,,
1999,Residence,Total Population,Total Population,INJ,Accidents (unintentional injuries),8940,,
1999,Residence,Gender,Female,INJ,Accidents (unintentional injuries),2829,,
1999,Residence,Gender,Male,INJ,Accidents (unintentional injuries),6111,,
1999,Residence,Total Population,Total Population,LIV,Chronic liver disease and cirrhosis,3546,,
1999,Residence,Gender,Female,LIV,Chronic liver disease and cirrhosis,1184,,
1999,Residence,Gender,Male,LIV,Chronic liver disease and cirrhosis,2362,,
1999,Residence,Total Population,Total Population,NEP,"Nephritis, nephrotic syndrome and nephrosis",1739,,
1999,Residence,Gender,Female,NEP,"Nephritis, nephrotic syndrome and nephrosis",849,,
1999,Residence,Gender,Male,NEP,"Nephritis, nephrotic syndrome and nephrosis",890,,
1999,Residence,Total Population,Total Population,PAR,Parkinson's disease,1390,,
1999,Residence,Gender,Female,PAR,Parkinson's disease,575,,
1999,Residence,Gender,Male,PAR,Parkinson's disease,815,,
1999,Residence,Total Population,Total Population,PNF,Influenza and pneumonia,8014,,
1999,Residence,Gender,Female,PNF,Influenza and pneumonia,4545,,
1999,Residence,Gender,Male,PNF,Influenza and pneumonia,3469,,
1999,Residence,Total Population,Total Population,STK,Cerebrovascular diseases,18079,,
1999,Residence,Gender,Female,STK,Cerebrovascular diseases,10815,,
1999,Residence,Gender,Male,STK,Cerebrovascular diseases,7264,,
1999,Residence,Total Population,Total Population,SUI,Intentional self-harm (suicide),3047,,
1999,Residence,Gender,Female,SUI,Intentional self-harm (suicide),646,,
1999,Residence,Gender,Male,SUI,Intentional self-harm (suicide),2401,,
2000,Occurrence,Total Population,Total Population,ALL,All causes (total),230505,,
2000,Occurrence,Age,Under 1 year,ALL,All causes (total),2935,,
2000,Occurrence,Age,1-4 years,ALL,All causes (total),582,,
2000,Occurrence,Age,5-14 years,ALL,All causes (total),847,,
2000,Occurrence,Age,15-24 years,ALL,All causes (total),3132,,
2000,Occurrence,Age,25-34 years,ALL,All causes (total),4263,,
2000,Occurrence,Age,35-44 years,ALL,All causes (total),9360,,
2000,Occurrence,Age,45-54 years,ALL,All causes (total),16517,,
2000,Occurrence,Age,55-64 years,ALL,All causes (total),23025,,
2000,Occurrence,Age,65-74 years,ALL,All causes (total),40406,,
2000,Occurrence,Age,75-84 years,ALL,All causes (total),67023,,
2000,Occurrence,Age,85 years and over,ALL,All causes (total),62303,,
2000,Occurrence,Gender,Female,ALL,All causes (total),115246,,
2000,Occurrence,Gender,Male,ALL,All causes (total),115259,,
2000,Occurrence,Gender * Race-Ethnicity,Female * American Indian/Alaskan Native,ALL,All causes (total),450,,
2000,Occurrence,Gender * Race-Ethnicity,Female * Asian,ALL,All causes (total),6497,,
2000,Occurrence,Gender * Race-Ethnicity,Female * Black,ALL,All causes (total),8498,,
2000,Occurrence,Gender * Race-Ethnicity,Female * Hawaiian/Pacific Islander,ALL,All causes (total),223,,
2000,Occurrence,Gender * Race-Ethnicity,Female * Hispanic,ALL,All causes (total),12655,,
2000,Occurrence,Gender * Race-Ethnicity,Female * Multi-Race,ALL,All causes (total),198,,
2000,Occurrence,Gender * Race-Ethnicity,Female * White,ALL,All causes (total),86674,,
2000,Occurrence,Gender * Race-Ethnicity,Female * Other/Unknown,ALL,All causes (total),51,,
2000,Occurrence,Gender * Race-Ethnicity,Male * American Indian/Alaskan Native,ALL,All causes (total),454,,
2000,Occurrence,Gender * Race-Ethnicity,Male * Asian,ALL,All causes (total),7714,,
2000,Occurrence,Gender * Race-Ethnicity,Male * Black,ALL,All causes (total),9113,,
2000,Occurrence,Gender * Race-Ethnicity,Male * Hawaiian/Pacific Islander,ALL,All causes (total),328,,
2000,Occurrence,Gender * Race-Ethnicity,Male * Hispanic,ALL,All causes (total),16203,,
2000,Occurrence,Gender * Race-Ethnicity,Male * Multi-Race,ALL,All causes (total),234,,
2000,Occurrence,Gender * Race-Ethnicity,Male * White,ALL,All causes (total),81127,,
2000,Occurrence,Gender * Race-Ethnicity,Male * Other/Unknown,ALL,All causes (total),86,,
2000,Occurrence,Race-Ethnicity,American Indian/Alaskan Native,ALL,All causes (total),904,,
2000,Occurrence,Race-Ethnicity,Asian,ALL,All causes (total),14211,,
2000,Occurrence,Race-Ethnicity,Black,ALL,All causes (total),17611,,
2000,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,ALL,All causes (total),551,,
2000,Occurrence,Race-Ethnicity,Hispanic,ALL,All causes (total),28858,,
2000,Occurrence,Race-Ethnicity,Multi-Race,ALL,All causes (total),432,,
2000,Occurrence,Race-Ethnicity,White,ALL,All causes (total),167801,,
2000,Occurrence,Race-Ethnicity,Other/Unknown,ALL,All causes (total),137,,
2000,Occurrence,Total Population,Total Population,ALZ,Alzheimer's disease,4415,,
2000,Occurrence,Gender,Female,ALZ,Alzheimer's disease,3024,,
2000,Occurrence,Gender,Male,ALZ,Alzheimer's disease,1391,,
2000,Occurrence,Race-Ethnicity,American Indian/Alaskan Native,ALZ,Alzheimer's disease,,1,Cell suppressed for small numbers
2000,Occurrence,Race-Ethnicity,Asian,ALZ,Alzheimer's disease,100,,
2000,Occurrence,Race-Ethnicity,Black,ALZ,Alzheimer's disease,199,,
2000,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,ALZ,Alzheimer's disease,,1,Cell suppressed for small numbers
2000,Occurrence,Race-Ethnicity,Hispanic,ALZ,Alzheimer's disease,267,,
2000,Occurrence,Race-Ethnicity,Multi-Race,ALZ,Alzheimer's disease,,1,Cell suppressed for small numbers
2000,Occurrence,Race-Ethnicity,White,ALZ,Alzheimer's disease,3836,,
2000,Occurrence,Race-Ethnicity,Other/Unknown,ALZ,Alzheimer's disease,,1,Cell suppressed for small numbers
2000,Occurrence,Total Population,Total Population,CAN,Malignant neoplasms,53466,,
2000,Occurrence,Gender,Female,CAN,Malignant neoplasms,26497,,
2000,Occurrence,Gender,Male,CAN,Malignant neoplasms,26969,,
2000,Occurrence,Race-Ethnicity,American Indian/Alaskan Native,CAN,Malignant neoplasms,189,,
2000,Occurrence,Race-Ethnicity,Asian,CAN,Malignant neoplasms,3868,,
2000,Occurrence,Race-Ethnicity,Black,CAN,Malignant neoplasms,3916,,
2000,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,CAN,Malignant neoplasms,114,,
2000,Occurrence,Race-Ethnicity,Hispanic,CAN,Malignant neoplasms,5840,,
2000,Occurrence,Race-Ethnicity,Multi-Race,CAN,Malignant neoplasms,70,,
2000,Occurrence,Race-Ethnicity,White,CAN,Malignant neoplasms,39454,,
2000,Occurrence,Race-Ethnicity,Other/Unknown,CAN,Malignant neoplasms,15,,
2000,Occurrence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,12831,,
2000,Occurrence,Gender,Female,CLD,Chronic lower respiratory diseases,6682,,
2000,Occurrence,Gender,Male,CLD,Chronic lower respiratory diseases,6149,,
2000,Occurrence,Race-Ethnicity,American Indian/Alaskan Native,CLD,Chronic lower respiratory diseases,48,,
2000,Occurrence,Race-Ethnicity,Asian,CLD,Chronic lower respiratory diseases,572,,
2000,Occurrence,Race-Ethnicity,Black,CLD,Chronic lower respiratory diseases,625,,
2000,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,CLD,Chronic lower respiratory diseases,21,,
2000,Occurrence,Race-Ethnicity,Hispanic,CLD,Chronic lower respiratory diseases,679,,
2000,Occurrence,Race-Ethnicity,Multi-Race,CLD,Chronic lower respiratory diseases,,2,Cell suppressed for complementary cell
2000,Occurrence,Race-Ethnicity,White,CLD,Chronic lower respiratory diseases,10863,,
2000,Occurrence,Race-Ethnicity,Other/Unknown,CLD,Chronic lower respiratory diseases,,1,Cell suppressed for small numbers
2000,Occurrence,Total Population,Total Population,DIA,Diabetes mellitus,6231,,
2000,Occurrence,Gender,Female,DIA,Diabetes mellitus,3203,,
2000,Occurrence,Gender,Male,DIA,Diabetes mellitus,3028,,
2000,Occurrence,Race-Ethnicity,American Indian/Alaskan Native,DIA,Diabetes mellitus,38,,
2000,Occurrence,Race-Ethnicity,Asian,DIA,Diabetes mellitus,451,,
2000,Occurrence,Race-Ethnicity,Black,DIA,Diabetes mellitus,737,,
2000,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,DIA,Diabetes mellitus,18,,
2000,Occurrence,Race-Ethnicity,Hispanic,DIA,Diabetes mellitus,1448,,
2000,Occurrence,Race-Ethnicity,Multi-Race,DIA,Diabetes mellitus,,2,Cell suppressed for complementary cell
2000,Occurrence,Race-Ethnicity,White,DIA,Diabetes mellitus,3524,,
2000,Occurrence,Race-Ethnicity,Other/Unknown,DIA,Diabetes mellitus,,1,Cell suppressed for small numbers
2000,Occurrence,Total Population,Total Population,HOM,Assault (homicide),2092,,
2000,Occurrence,Gender,Female,HOM,Assault (homicide),385,,
2000,Occurrence,Gender,Male,HOM,Assault (homicide),1707,,
2000,Occurrence,Race-Ethnicity,American Indian/Alaskan Native,HOM,Assault (homicide),,1,Cell suppressed for small numbers
2000,Occurrence,Race-Ethnicity,Asian,HOM,Assault (homicide),110,,
2000,Occurrence,Race-Ethnicity,Black,HOM,Assault (homicide),598,,
2000,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,HOM,Assault (homicide),,1,Cell suppressed for small numbers
2000,Occurrence,Race-Ethnicity,Hispanic,HOM,Assault (homicide),900,,
2000,Occurrence,Race-Ethnicity,Multi-Race,HOM,Assault (homicide),,1,Cell suppressed for small numbers
2000,Occurrence,Race-Ethnicity,White,HOM,Assault (homicide),457,,
2000,Occurrence,Race-Ethnicity,Other/Unknown,HOM,Assault (homicide),,1,Cell suppressed for small numbers
2000,Occurrence,Total Population,Total Population,HTD,Diseases of heart,69228,,
2000,Occurrence,Gender,Female,HTD,Diseases of heart,34862,,
2000,Occurrence,Gender,Male,HTD,Diseases of heart,34366,,
2000,Occurrence,Race-Ethnicity,American Indian/Alaskan Native,HTD,Diseases of heart,212,,
2000,Occurrence,Race-Ethnicity,Asian,HTD,Diseases of heart,3870,,
2000,Occurrence,Race-Ethnicity,Black,HTD,Diseases of heart,5314,,
2000,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,HTD,Diseases of heart,181,,
2000,Occurrence,Race-Ethnicity,Hispanic,HTD,Diseases of heart,6823,,
2000,Occurrence,Race-Ethnicity,Multi-Race,HTD,Diseases of heart,89,,
2000,Occurrence,Race-Ethnicity,White,HTD,Diseases of heart,52710,,
2000,Occurrence,Race-Ethnicity,Other/Unknown,HTD,Diseases of heart,29,,
2000,Occurrence,Total Population,Total Population,HYP,Essential hypertension and hypertensive renal disease,2036,,
2000,Occurrence,Gender,Female,HYP,Essential hypertension and hypertensive renal disease,1238,,
2000,Occurrence,Gender,Male,HYP,Essential hypertension and hypertensive renal disease,798,,
2000,Occurrence,Race-Ethnicity,American Indian/Alaskan Native,HYP,Essential hypertension and hypertensive renal disease,,1,Cell suppressed for small numbers
2000,Occurrence,Race-Ethnicity,Asian,HYP,Essential hypertension and hypertensive renal disease,144,,
2000,Occurrence,Race-Ethnicity,Black,HYP,Essential hypertension and hypertensive renal disease,294,,
2000,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,HYP,Essential hypertension and hypertensive renal disease,,1,Cell suppressed for small numbers
2000,Occurrence,Race-Ethnicity,Hispanic,HYP,Essential hypertension and hypertensive renal disease,223,,
2000,Occurrence,Race-Ethnicity,Multi-Race,HYP,Essential hypertension and hypertensive renal disease,,1,Cell suppressed for small numbers
2000,Occurrence,Race-Ethnicity,White,HYP,Essential hypertension and hypertensive renal disease,1357,,
2000,Occurrence,Race-Ethnicity,Other/Unknown,HYP,Essential hypertension and hypertensive renal disease,,1,Cell suppressed for small numbers
2000,Occurrence,Total Population,Total Population,INJ,Accidents (unintentional injuries),9128,,
2000,Occurrence,Gender,Female,INJ,Accidents (unintentional injuries),2900,,
2000,Occurrence,Gender,Male,INJ,Accidents (unintentional injuries),6228,,
2000,Occurrence,Race-Ethnicity,American Indian/Alaskan Native,INJ,Accidents (unintentional injuries),78,,
2000,Occurrence,Race-Ethnicity,Asian,INJ,Accidents (unintentional injuries),556,,
2000,Occurrence,Race-Ethnicity,Black,INJ,Accidents (unintentional injuries),644,,
2000,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,INJ,Accidents (unintentional injuries),26,,
2000,Occurrence,Race-Ethnicity,Hispanic,INJ,Accidents (unintentional injuries),2332,,
2000,Occurrence,Race-Ethnicity,Multi-Race,INJ,Accidents (unintentional injuries),43,,
2000,Occurrence,Race-Ethnicity,White,INJ,Accidents (unintentional injuries),5434,,
2000,Occurrence,Race-Ethnicity,Other/Unknown,INJ,Accidents (unintentional injuries),15,,
2000,Occurrence,Total Population,Total Population,LIV,Chronic liver disease and cirrhosis,3718,,
2000,Occurrence,Gender,Female,LIV,Chronic liver disease and cirrhosis,1222,,
2000,Occurrence,Gender,Male,LIV,Chronic liver disease and cirrhosis,2496,,
2000,Occurrence,Race-Ethnicity,American Indian/Alaskan Native,LIV,Chronic liver disease and cirrhosis,43,,
2000,Occurrence,Race-Ethnicity,Asian,LIV,Chronic liver disease and cirrhosis,121,,
2000,Occurrence,Race-Ethnicity,Black,LIV,Chronic liver disease and cirrhosis,214,,
2000,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,LIV,Chronic liver disease and cirrhosis,,1,Cell suppressed for small numbers
2000,Occurrence,Race-Ethnicity,Hispanic,LIV,Chronic liver disease and cirrhosis,1131,,
2000,Occurrence,Race-Ethnicity,Multi-Race,LIV,Chronic liver disease and cirrhosis,,1,Cell suppressed for small numbers
2000,Occurrence,Race-Ethnicity,White,LIV,Chronic liver disease and cirrhosis,2186,,
2000,Occurrence,Race-Ethnicity,Other/Unknown,LIV,Chronic liver disease and cirrhosis,,1,Cell suppressed for small numbers
2000,Occurrence,Total Population,Total Population,NEP,"Nephritis, nephrotic syndrome and nephrosis",1794,,
2000,Occurrence,Gender,Female,NEP,"Nephritis, nephrotic syndrome and nephrosis",933,,
2000,Occurrence,Gender,Male,NEP,"Nephritis, nephrotic syndrome and nephrosis",861,,
2000,Occurrence,Race-Ethnicity,American Indian/Alaskan Native,NEP,"Nephritis, nephrotic syndrome and nephrosis",,1,Cell suppressed for small numbers
2000,Occurrence,Race-Ethnicity,Asian,NEP,"Nephritis, nephrotic syndrome and nephrosis",185,,
2000,Occurrence,Race-Ethnicity,Black,NEP,"Nephritis, nephrotic syndrome and nephrosis",215,,
2000,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,NEP,"Nephritis, nephrotic syndrome and nephrosis",11,,
2000,Occurrence,Race-Ethnicity,Hispanic,NEP,"Nephritis, nephrotic syndrome and nephrosis",334,,
2000,Occurrence,Race-Ethnicity,Multi-Race,NEP,"Nephritis, nephrotic syndrome and nephrosis",,1,Cell suppressed for small numbers
2000,Occurrence,Race-Ethnicity,White,NEP,"Nephritis, nephrotic syndrome and nephrosis",1037,,
2000,Occurrence,Race-Ethnicity,Other/Unknown,NEP,"Nephritis, nephrotic syndrome and nephrosis",,1,Cell suppressed for small numbers
2000,Occurrence,Total Population,Total Population,PAR,Parkinson's disease,1483,,
2000,Occurrence,Gender,Female,PAR,Parkinson's disease,632,,
2000,Occurrence,Gender,Male,PAR,Parkinson's disease,851,,
2000,Occurrence,Race-Ethnicity,American Indian/Alaskan Native,PAR,Parkinson's disease,,1,Cell suppressed for small numbers
2000,Occurrence,Race-Ethnicity,Asian,PAR,Parkinson's disease,62,,
2000,Occurrence,Race-Ethnicity,Black,PAR,Parkinson's disease,25,,
2000,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,PAR,Parkinson's disease,,1,Cell suppressed for small numbers
2000,Occurrence,Race-Ethnicity,Hispanic,PAR,Parkinson's disease,99,,
2000,Occurrence,Race-Ethnicity,Multi-Race,PAR,Parkinson's disease,,1,Cell suppressed for small numbers
2000,Occurrence,Race-Ethnicity,White,PAR,Parkinson's disease,1287,,
2000,Occurrence,Race-Ethnicity,Other/Unknown,PAR,Parkinson's disease,0,,
2000,Occurrence,Total Population,Total Population,PNF,Influenza and pneumonia,8404,,
2000,Occurrence,Gender,Female,PNF,Influenza and pneumonia,4707,,
2000,Occurrence,Gender,Male,PNF,Influenza and pneumonia,3697,,
2000,Occurrence,Race-Ethnicity,American Indian/Alaskan Native,PNF,Influenza and pneumonia,17,,
2000,Occurrence,Race-Ethnicity,Asian,PNF,Influenza and pneumonia,583,,
2000,Occurrence,Race-Ethnicity,Black,PNF,Influenza and pneumonia,472,,
2000,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,PNF,Influenza and pneumonia,12,,
2000,Occurrence,Race-Ethnicity,Hispanic,PNF,Influenza and pneumonia,836,,
2000,Occurrence,Race-Ethnicity,Multi-Race,PNF,Influenza and pneumonia,,1,Cell suppressed for small numbers
2000,Occurrence,Race-Ethnicity,White,PNF,Influenza and pneumonia,6472,,
2000,Occurrence,Race-Ethnicity,Other/Unknown,PNF,Influenza and pneumonia,,1,Cell suppressed for small numbers
2000,Occurrence,Total Population,Total Population,STK,Cerebrovascular diseases,18220,,
2000,Occurrence,Gender,Female,STK,Cerebrovascular diseases,10896,,
2000,Occurrence,Gender,Male,STK,Cerebrovascular diseases,7324,,
2000,Occurrence,Race-Ethnicity,American Indian/Alaskan Native,STK,Cerebrovascular diseases,58,,
2000,Occurrence,Race-Ethnicity,Asian,STK,Cerebrovascular diseases,1542,,
2000,Occurrence,Race-Ethnicity,Black,STK,Cerebrovascular diseases,1354,,
2000,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,STK,Cerebrovascular diseases,40,,
2000,Occurrence,Race-Ethnicity,Hispanic,STK,Cerebrovascular diseases,1943,,
2000,Occurrence,Race-Ethnicity,Multi-Race,STK,Cerebrovascular diseases,,2,Cell suppressed for complementary cell
2000,Occurrence,Race-Ethnicity,White,STK,Cerebrovascular diseases,13252,,
2000,Occurrence,Race-Ethnicity,Other/Unknown,STK,Cerebrovascular diseases,,1,Cell suppressed for small numbers
2000,Occurrence,Total Population,Total Population,SUI,Intentional self-harm (suicide),3166,,
2000,Occurrence,Gender,Female,SUI,Intentional self-harm (suicide),692,,
2000,Occurrence,Gender,Male,SUI,Intentional self-harm (suicide),2474,,
2000,Occurrence,Race-Ethnicity,American Indian/Alaskan Native,SUI,Intentional self-harm (suicide),13,,
2000,Occurrence,Race-Ethnicity,Asian,SUI,Intentional self-harm (suicide),216,,
2000,Occurrence,Race-Ethnicity,Black,SUI,Intentional self-harm (suicide),145,,
2000,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,SUI,Intentional self-harm (suicide),,1,Cell suppressed for small numbers
2000,Occurrence,Race-Ethnicity,Hispanic,SUI,Intentional self-harm (suicide),456,,
2000,Occurrence,Race-Ethnicity,Multi-Race,SUI,Intentional self-harm (suicide),15,,
2000,Occurrence,Race-Ethnicity,White,SUI,Intentional self-harm (suicide),2311,,
2000,Occurrence,Race-Ethnicity,Other/Unknown,SUI,Intentional self-harm (suicide),,1,Cell suppressed for small numbers
2000,Residence,Total Population,Total Population,ALL,All causes (total),228281,,
2000,Residence,Age,Under 1 year,ALL,All causes (total),2884,,
2000,Residence,Age,1-4 years,ALL,All causes (total),572,,
2000,Residence,Age,5-14 years,ALL,All causes (total),830,,
2000,Residence,Age,15-24 years,ALL,All causes (total),3036,,
2000,Residence,Age,25-34 years,ALL,All causes (total),4131,,
2000,Residence,Age,35-44 years,ALL,All causes (total),9168,,
2000,Residence,Age,45-54 years,ALL,All causes (total),16284,,
2000,Residence,Age,55-64 years,ALL,All causes (total),22740,,
2000,Residence,Age,65-74 years,ALL,All causes (total),40001,,
2000,Residence,Age,75-84 years,ALL,All causes (total),66557,,
2000,Residence,Age,85 years and over,ALL,All causes (total),61970,,
2000,Residence,Gender,Female,ALL,All causes (total),114276,,
2000,Residence,Gender,Male,ALL,All causes (total),114005,,
2000,Residence,Gender * Race-Ethnicity,Female * American Indian/Alaskan Native,ALL,All causes (total),449,,
2000,Residence,Gender * Race-Ethnicity,Female * Asian,ALL,All causes (total),6415,,
2000,Residence,Gender * Race-Ethnicity,Female * Black,ALL,All causes (total),8418,,
2000,Residence,Gender * Race-Ethnicity,Female * Hawaiian/Pacific Islander,ALL,All causes (total),216,,
2000,Residence,Gender * Race-Ethnicity,Female * Hispanic,ALL,All causes (total),12555,,
2000,Residence,Gender * Race-Ethnicity,Female * Multi-Race,ALL,All causes (total),194,,
2000,Residence,Gender * Race-Ethnicity,Female * White,ALL,All causes (total),85974,,
2000,Residence,Gender * Race-Ethnicity,Female * Other/Unknown,ALL,All causes (total),55,,
2000,Residence,Gender * Race-Ethnicity,Male * American Indian/Alaskan Native,ALL,All causes (total),443,,
2000,Residence,Gender * Race-Ethnicity,Male * Asian,ALL,All causes (total),7610,,
2000,Residence,Gender * Race-Ethnicity,Male * Black,ALL,All causes (total),9064,,
2000,Residence,Gender * Race-Ethnicity,Male * Hawaiian/Pacific Islander,ALL,All causes (total),311,,
2000,Residence,Gender * Race-Ethnicity,Male * Hispanic,ALL,All causes (total),16002,,
