"Year","Geography_Type","Strata","Strata_Name","Cause","Cause_Desc","ICD_Revision","Count","Annotation_Code","Annotation_Desc","Data_Revision_Date"
2014,Occurrence,Gender * Race-Ethnicity,Male * Other/Unknown,ALL,All causes (total),ICD-10,469,,,01/16/2025
2014,Occurrence,Place Type,Inpatient,ALL,All causes (total),ICD-10,76359,,,01/16/2025
2014,Occurrence,Place Type,Emergency Room/Outpatient,ALL,All causes (total),ICD-10,15847,,,01/16/2025
2014,Occurrence,Place Type,Decedent's Home,ALL,All causes (total),ICD-10,87702,,,01/16/2025
2014,Occurrence,Place Type,Hospice Facility,ALL,All causes (total),ICD-10,4385,,,01/16/2025
2014,Occurrence,Place Type,Nursing Home/Long Term Care Facility,ALL,All causes (total),ICD-10,43933,,,01/16/2025
2014,Occurrence,Place Type,Other/Unknown,ALL,All causes (total),ICD-10,18582,,,01/16/2025
2014,Occurrence,Race-Ethnicity,American Indian/Alaska Native,ALL,All causes (total),ICD-10,1134,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Asian,ALL,All causes (total),ICD-10,22344,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Black,ALL,All causes (total),ICD-10,18543,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,ALL,All causes (total),ICD-10,824,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hispanic,ALL,All causes (total),ICD-10,44365,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Multi-Race,ALL,All causes (total),ICD-10,2061,,,01/16/2025
2014,Occurrence,Race-Ethnicity,White,ALL,All causes (total),ICD-10,156791,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Other/Unknown,ALL,All causes (total),ICD-10,746,,,01/16/2025
2014,Occurrence,Total Population,Total Population,ALZ,Alzheimer's disease,ICD-10,12685,,,01/16/2025
2014,Occurrence,Gender,Female,ALZ,Alzheimer's disease,ICD-10,8698,,,01/16/2025
2014,Occurrence,Gender,Male,ALZ,Alzheimer's disease,ICD-10,3987,,,01/16/2025
2014,Occurrence,Race-Ethnicity,American Indian/Alaska Native,ALZ,Alzheimer's disease,ICD-10,35,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Asian,ALZ,Alzheimer's disease,ICD-10,858,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Black,ALZ,Alzheimer's disease,ICD-10,666,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,ALZ,Alzheimer's disease,ICD-10,22,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hispanic,ALZ,Alzheimer's disease,ICD-10,1524,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Multi-Race,ALZ,Alzheimer's disease,ICD-10,70,,,01/16/2025
2014,Occurrence,Race-Ethnicity,White,ALZ,Alzheimer's disease,ICD-10,9492,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Other/Unknown,ALZ,Alzheimer's disease,ICD-10,18,,,01/16/2025
2014,Occurrence,Total Population,Total Population,CAN,Malignant neoplasms,ICD-10,58741,,,01/16/2025
2014,Occurrence,Gender,Female,CAN,Malignant neoplasms,ICD-10,28357,,,01/16/2025
2014,Occurrence,Gender,Male,CAN,Malignant neoplasms,ICD-10,30383,,,01/16/2025
2014,Occurrence,Race-Ethnicity,American Indian/Alaska Native,CAN,Malignant neoplasms,ICD-10,231,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Asian,CAN,Malignant neoplasms,ICD-10,6282,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Black,CAN,Malignant neoplasms,ICD-10,4261,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,CAN,Malignant neoplasms,ICD-10,231,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hispanic,CAN,Malignant neoplasms,ICD-10,10246,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Multi-Race,CAN,Malignant neoplasms,ICD-10,467,,,01/16/2025
2014,Occurrence,Race-Ethnicity,White,CAN,Malignant neoplasms,ICD-10,36875,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Other/Unknown,CAN,Malignant neoplasms,ICD-10,148,,,01/16/2025
2014,Occurrence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,12805,,,01/16/2025
2014,Occurrence,Gender,Female,CLD,Chronic lower respiratory diseases,ICD-10,6754,,,01/16/2025
2014,Occurrence,Gender,Male,CLD,Chronic lower respiratory diseases,ICD-10,6051,,,01/16/2025
2014,Occurrence,Race-Ethnicity,American Indian/Alaska Native,CLD,Chronic lower respiratory diseases,ICD-10,62,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Asian,CLD,Chronic lower respiratory diseases,ICD-10,800,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Black,CLD,Chronic lower respiratory diseases,ICD-10,762,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,CLD,Chronic lower respiratory diseases,ICD-10,16,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hispanic,CLD,Chronic lower respiratory diseases,ICD-10,1149,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Multi-Race,CLD,Chronic lower respiratory diseases,ICD-10,106,,,01/16/2025
2014,Occurrence,Race-Ethnicity,White,CLD,Chronic lower respiratory diseases,ICD-10,9871,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Other/Unknown,CLD,Chronic lower respiratory diseases,ICD-10,39,,,01/16/2025
2014,Occurrence,Total Population,Total Population,DIA,Diabetes mellitus,ICD-10,8249,,,01/16/2025
2014,Occurrence,Gender,Female,DIA,Diabetes mellitus,ICD-10,3708,,,01/16/2025
2014,Occurrence,Gender,Male,DIA,Diabetes mellitus,ICD-10,4541,,,01/16/2025
2014,Occurrence,Race-Ethnicity,American Indian/Alaska Native,DIA,Diabetes mellitus,ICD-10,46,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Asian,DIA,Diabetes mellitus,ICD-10,982,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Black,DIA,Diabetes mellitus,ICD-10,915,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,DIA,Diabetes mellitus,ICD-10,62,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hispanic,DIA,Diabetes mellitus,ICD-10,2371,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Multi-Race,DIA,Diabetes mellitus,ICD-10,65,,,01/16/2025
2014,Occurrence,Race-Ethnicity,White,DIA,Diabetes mellitus,ICD-10,3783,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Other/Unknown,DIA,Diabetes mellitus,ICD-10,25,,,01/16/2025
2014,Occurrence,Total Population,Total Population,HOM,Assault (homicide),ICD-10,1823,,,01/16/2025
2014,Occurrence,Gender,Female,HOM,Assault (homicide),ICD-10,303,,,01/16/2025
2014,Occurrence,Gender,Male,HOM,Assault (homicide),ICD-10,1520,,,01/16/2025
2014,Occurrence,Race-Ethnicity,American Indian/Alaska Native,HOM,Assault (homicide),ICD-10,21,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Asian,HOM,Assault (homicide),ICD-10,73,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Black,HOM,Assault (homicide),ICD-10,522,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,HOM,Assault (homicide),ICD-10,,2,Cell suppressed for complementary cell,01/16/2025
2014,Occurrence,Race-Ethnicity,Hispanic,HOM,Assault (homicide),ICD-10,745,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Multi-Race,HOM,Assault (homicide),ICD-10,28,,,01/16/2025
2014,Occurrence,Race-Ethnicity,White,HOM,Assault (homicide),ICD-10,420,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Other/Unknown,HOM,Assault (homicide),ICD-10,,1,Cell suppressed for small numbers,01/16/2025
2014,Occurrence,Total Population,Total Population,HTD,Diseases of heart,ICD-10,58403,,,01/16/2025
2014,Occurrence,Gender,Female,HTD,Diseases of heart,ICD-10,26924,,,01/16/2025
2014,Occurrence,Gender,Male,HTD,Diseases of heart,ICD-10,31478,,,01/16/2025
2014,Occurrence,Race-Ethnicity,American Indian/Alaska Native,HTD,Diseases of heart,ICD-10,249,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Asian,HTD,Diseases of heart,ICD-10,4955,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Black,HTD,Diseases of heart,ICD-10,4672,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,HTD,Diseases of heart,ICD-10,220,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hispanic,HTD,Diseases of heart,ICD-10,8844,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Multi-Race,HTD,Diseases of heart,ICD-10,402,,,01/16/2025
2014,Occurrence,Race-Ethnicity,White,HTD,Diseases of heart,ICD-10,38888,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Other/Unknown,HTD,Diseases of heart,ICD-10,173,,,01/16/2025
2014,Occurrence,Total Population,Total Population,HYP,Essential hypertension and hypertensive renal disease,ICD-10,4579,,,01/16/2025
2014,Occurrence,Gender,Female,HYP,Essential hypertension and hypertensive renal disease,ICD-10,2585,,,01/16/2025
2014,Occurrence,Gender,Male,HYP,Essential hypertension and hypertensive renal disease,ICD-10,1994,,,01/16/2025
2014,Occurrence,Race-Ethnicity,American Indian/Alaska Native,HYP,Essential hypertension and hypertensive renal disease,ICD-10,19,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Asian,HYP,Essential hypertension and hypertensive renal disease,ICD-10,524,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Black,HYP,Essential hypertension and hypertensive renal disease,ICD-10,441,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,HYP,Essential hypertension and hypertensive renal disease,ICD-10,,2,Cell suppressed for complementary cell,01/16/2025
2014,Occurrence,Race-Ethnicity,Hispanic,HYP,Essential hypertension and hypertensive renal disease,ICD-10,799,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Multi-Race,HYP,Essential hypertension and hypertensive renal disease,ICD-10,28,,,01/16/2025
2014,Occurrence,Race-Ethnicity,White,HYP,Essential hypertension and hypertensive renal disease,ICD-10,2744,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Other/Unknown,HYP,Essential hypertension and hypertensive renal disease,ICD-10,,1,Cell suppressed for small numbers,01/16/2025
2014,Occurrence,Total Population,Total Population,INJ,Accidents (unintentional injuries),ICD-10,11944,,,01/16/2025
2014,Occurrence,Gender,Female,INJ,Accidents (unintentional injuries),ICD-10,3976,,,01/16/2025
2014,Occurrence,Gender,Male,INJ,Accidents (unintentional injuries),ICD-10,7968,,,01/16/2025
2014,Occurrence,Race-Ethnicity,American Indian/Alaska Native,INJ,Accidents (unintentional injuries),ICD-10,104,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Asian,INJ,Accidents (unintentional injuries),ICD-10,755,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Black,INJ,Accidents (unintentional injuries),ICD-10,883,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,INJ,Accidents (unintentional injuries),ICD-10,36,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hispanic,INJ,Accidents (unintentional injuries),ICD-10,2957,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Multi-Race,INJ,Accidents (unintentional injuries),ICD-10,174,,,01/16/2025
2014,Occurrence,Race-Ethnicity,White,INJ,Accidents (unintentional injuries),ICD-10,6993,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Other/Unknown,INJ,Accidents (unintentional injuries),ICD-10,42,,,01/16/2025
2014,Occurrence,Total Population,Total Population,LIV,Chronic liver disease and cirrhosis,ICD-10,5035,,,01/16/2025
2014,Occurrence,Gender,Female,LIV,Chronic liver disease and cirrhosis,ICD-10,1726,,,01/16/2025
2014,Occurrence,Gender,Male,LIV,Chronic liver disease and cirrhosis,ICD-10,3309,,,01/16/2025
2014,Occurrence,Race-Ethnicity,American Indian/Alaska Native,LIV,Chronic liver disease and cirrhosis,ICD-10,50,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Asian,LIV,Chronic liver disease and cirrhosis,ICD-10,194,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Black,LIV,Chronic liver disease and cirrhosis,ICD-10,249,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,LIV,Chronic liver disease and cirrhosis,ICD-10,,1,Cell suppressed for small numbers,01/16/2025
2014,Occurrence,Race-Ethnicity,Hispanic,LIV,Chronic liver disease and cirrhosis,ICD-10,1848,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Multi-Race,LIV,Chronic liver disease and cirrhosis,ICD-10,51,,,01/16/2025
2014,Occurrence,Race-Ethnicity,White,LIV,Chronic liver disease and cirrhosis,ICD-10,2620,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Other/Unknown,LIV,Chronic liver disease and cirrhosis,ICD-10,,2,Cell suppressed for complementary cell,01/16/2025
2014,Occurrence,Total Population,Total Population,NEP,"Nephritis, nephrotic syndrome and nephrosis",ICD-10,3117,,,01/16/2025
2014,Occurrence,Gender,Female,NEP,"Nephritis, nephrotic syndrome and nephrosis",ICD-10,1485,,,01/16/2025
2014,Occurrence,Gender,Male,NEP,"Nephritis, nephrotic syndrome and nephrosis",ICD-10,1632,,,01/16/2025
2014,Occurrence,Race-Ethnicity,American Indian/Alaska Native,NEP,"Nephritis, nephrotic syndrome and nephrosis",ICD-10,17,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Asian,NEP,"Nephritis, nephrotic syndrome and nephrosis",ICD-10,366,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Black,NEP,"Nephritis, nephrotic syndrome and nephrosis",ICD-10,349,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,NEP,"Nephritis, nephrotic syndrome and nephrosis",ICD-10,,2,Cell suppressed for complementary cell,01/16/2025
2014,Occurrence,Race-Ethnicity,Hispanic,NEP,"Nephritis, nephrotic syndrome and nephrosis",ICD-10,757,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Multi-Race,NEP,"Nephritis, nephrotic syndrome and nephrosis",ICD-10,22,,,01/16/2025
2014,Occurrence,Race-Ethnicity,White,NEP,"Nephritis, nephrotic syndrome and nephrosis",ICD-10,1581,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Other/Unknown,NEP,"Nephritis, nephrotic syndrome and nephrosis",ICD-10,,1,Cell suppressed for small numbers,01/16/2025
2014,Occurrence,Total Population,Total Population,PAR,Parkinson's disease,ICD-10,2640,,,01/16/2025
2014,Occurrence,Gender,Female,PAR,Parkinson's disease,ICD-10,1062,,,01/16/2025
2014,Occurrence,Gender,Male,PAR,Parkinson's disease,ICD-10,1578,,,01/16/2025
2014,Occurrence,Race-Ethnicity,American Indian/Alaska Native,PAR,Parkinson's disease,ICD-10,,1,Cell suppressed for small numbers,01/16/2025
2014,Occurrence,Race-Ethnicity,Asian,PAR,Parkinson's disease,ICD-10,216,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Black,PAR,Parkinson's disease,ICD-10,82,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,PAR,Parkinson's disease,ICD-10,,1,Cell suppressed for small numbers,01/16/2025
2014,Occurrence,Race-Ethnicity,Hispanic,PAR,Parkinson's disease,ICD-10,336,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Multi-Race,PAR,Parkinson's disease,ICD-10,14,,,01/16/2025
2014,Occurrence,Race-Ethnicity,White,PAR,Parkinson's disease,ICD-10,1979,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Other/Unknown,PAR,Parkinson's disease,ICD-10,,1,Cell suppressed for small numbers,01/16/2025
2014,Occurrence,Total Population,Total Population,PNF,Influenza and pneumonia,ICD-10,5975,,,01/16/2025
2014,Occurrence,Gender,Female,PNF,Influenza and pneumonia,ICD-10,2977,,,01/16/2025
2014,Occurrence,Gender,Male,PNF,Influenza and pneumonia,ICD-10,2998,,,01/16/2025
2014,Occurrence,Race-Ethnicity,American Indian/Alaska Native,PNF,Influenza and pneumonia,ICD-10,23,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Asian,PNF,Influenza and pneumonia,ICD-10,795,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Black,PNF,Influenza and pneumonia,ICD-10,371,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,PNF,Influenza and pneumonia,ICD-10,17,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hispanic,PNF,Influenza and pneumonia,ICD-10,1184,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Multi-Race,PNF,Influenza and pneumonia,ICD-10,41,,,01/16/2025
2014,Occurrence,Race-Ethnicity,White,PNF,Influenza and pneumonia,ICD-10,3514,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Other/Unknown,PNF,Influenza and pneumonia,ICD-10,30,,,01/16/2025
2014,Occurrence,Total Population,Total Population,STK,Cerebrovascular diseases,ICD-10,13768,,,01/16/2025
2014,Occurrence,Gender,Female,STK,Cerebrovascular diseases,ICD-10,7894,,,01/16/2025
2014,Occurrence,Gender,Male,STK,Cerebrovascular diseases,ICD-10,5874,,,01/16/2025
2014,Occurrence,Race-Ethnicity,American Indian/Alaska Native,STK,Cerebrovascular diseases,ICD-10,31,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Asian,STK,Cerebrovascular diseases,ICD-10,1730,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Black,STK,Cerebrovascular diseases,ICD-10,1048,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,STK,Cerebrovascular diseases,ICD-10,33,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hispanic,STK,Cerebrovascular diseases,ICD-10,2494,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Multi-Race,STK,Cerebrovascular diseases,ICD-10,92,,,01/16/2025
2014,Occurrence,Race-Ethnicity,White,STK,Cerebrovascular diseases,ICD-10,8298,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Other/Unknown,STK,Cerebrovascular diseases,ICD-10,42,,,01/16/2025
2014,Occurrence,Total Population,Total Population,SUI,Intentional self-harm (suicide),ICD-10,4259,,,01/16/2025
2014,Occurrence,Gender,Female,SUI,Intentional self-harm (suicide),ICD-10,985,,,01/16/2025
2014,Occurrence,Gender,Male,SUI,Intentional self-harm (suicide),ICD-10,3274,,,01/16/2025
2014,Occurrence,Race-Ethnicity,American Indian/Alaska Native,SUI,Intentional self-harm (suicide),ICD-10,19,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Asian,SUI,Intentional self-harm (suicide),ICD-10,342,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Black,SUI,Intentional self-harm (suicide),ICD-10,129,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,SUI,Intentional self-harm (suicide),ICD-10,14,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Hispanic,SUI,Intentional self-harm (suicide),ICD-10,742,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Multi-Race,SUI,Intentional self-harm (suicide),ICD-10,83,,,01/16/2025
2014,Occurrence,Race-Ethnicity,White,SUI,Intentional self-harm (suicide),ICD-10,2913,,,01/16/2025
2014,Occurrence,Race-Ethnicity,Other/Unknown,SUI,Intentional self-harm (suicide),ICD-10,17,,,01/16/2025
2014,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,245705,,,01/16/2025
2014,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,2162,,,01/16/2025
2014,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,358,,,01/16/2025
2014,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,511,,,01/16/2025
2014,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,2886,,,01/16/2025
2014,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,4481,,,01/16/2025
2014,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,6693,,,01/16/2025
2014,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,16634,,,01/16/2025
2014,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,32441,,,01/16/2025
2014,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,41219,,,01/16/2025
2014,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,56370,,,01/16/2025
2014,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,81932,,,01/16/2025
2014,Residence,Gender,Female,ALL,All causes (total),ICD-10,119424,,,01/16/2025
2014,Residence,Gender,Male,ALL,All causes (total),ICD-10,126273,,,01/16/2025
2014,Residence,Gender * Race-Ethnicity,Female * American Indian/Alaska Native,ALL,All causes (total),ICD-10,573,,,01/16/2025
2014,Residence,Gender * Race-Ethnicity,Female * Asian,ALL,All causes (total),ICD-10,11001,,,01/16/2025
2014,Residence,Gender * Race-Ethnicity,Female * Black,ALL,All causes (total),ICD-10,8750,,,01/16/2025
2014,Residence,Gender * Race-Ethnicity,Female * Hawaiian/Pacific Islander,ALL,All causes (total),ICD-10,376,,,01/16/2025
2014,Residence,Gender * Race-Ethnicity,Female * Hispanic,ALL,All causes (total),ICD-10,19975,,,01/16/2025
2014,Residence,Gender * Race-Ethnicity,Female * Multi-Race,ALL,All causes (total),ICD-10,1011,,,01/16/2025
2014,Residence,Gender * Race-Ethnicity,Female * White,ALL,All causes (total),ICD-10,77473,,,01/16/2025
2014,Residence,Gender * Race-Ethnicity,Female * Other/Unknown,ALL,All causes (total),ICD-10,265,,,01/16/2025
2014,Residence,Gender * Race-Ethnicity,Male * American Indian/Alaska Native,ALL,All causes (total),ICD-10,582,,,01/16/2025
2014,Residence,Gender * Race-Ethnicity,Male * Asian,ALL,All causes (total),ICD-10,11235,,,01/16/2025
2014,Residence,Gender * Race-Ethnicity,Male * Black,ALL,All causes (total),ICD-10,9720,,,01/16/2025
2014,Residence,Gender * Race-Ethnicity,Male * Hawaiian/Pacific Islander,ALL,All causes (total),ICD-10,438,,,01/16/2025
2014,Residence,Gender * Race-Ethnicity,Male * Hispanic,ALL,All causes (total),ICD-10,24276,,,01/16/2025
2014,Residence,Gender * Race-Ethnicity,Male * Multi-Race,ALL,All causes (total),ICD-10,1013,,,01/16/2025
2014,Residence,Gender * Race-Ethnicity,Male * White,ALL,All causes (total),ICD-10,78551,,,01/16/2025
2014,Residence,Gender * Race-Ethnicity,Male * Other/Unknown,ALL,All causes (total),ICD-10,458,,,01/16/2025
2014,Residence,Place Type,Inpatient,ALL,All causes (total),ICD-10,76070,,,01/16/2025
2014,Residence,Place Type,Emergency Room/Outpatient,ALL,All causes (total),ICD-10,15721,,,01/16/2025
2014,Residence,Place Type,Decedent's Home,ALL,All causes (total),ICD-10,87558,,,01/16/2025
2014,Residence,Place Type,Hospice Facility,ALL,All causes (total),ICD-10,4433,,,01/16/2025
2014,Residence,Place Type,Nursing Home/Long Term Care Facility,ALL,All causes (total),ICD-10,43808,,,01/16/2025
2014,Residence,Place Type,Other/Unknown,ALL,All causes (total),ICD-10,18115,,,01/16/2025
2014,Residence,Race-Ethnicity,American Indian/Alaska Native,ALL,All causes (total),ICD-10,1155,,,01/16/2025
2014,Residence,Race-Ethnicity,Asian,ALL,All causes (total),ICD-10,22236,,,01/16/2025
2014,Residence,Race-Ethnicity,Black,ALL,All causes (total),ICD-10,18471,,,01/16/2025
2014,Residence,Race-Ethnicity,Hawaiian/Pacific Islander,ALL,All causes (total),ICD-10,814,,,01/16/2025
2014,Residence,Race-Ethnicity,Hispanic,ALL,All causes (total),ICD-10,44252,,,01/16/2025
2014,Residence,Race-Ethnicity,Multi-Race,ALL,All causes (total),ICD-10,2024,,,01/16/2025
2014,Residence,Race-Ethnicity,White,ALL,All causes (total),ICD-10,156026,,,01/16/2025
2014,Residence,Race-Ethnicity,Other/Unknown,ALL,All causes (total),ICD-10,727,,,01/16/2025
2014,Residence,Total Population,Total Population,ALZ,Alzheimer's disease,ICD-10,12630,,,01/16/2025
2014,Residence,Gender,Female,ALZ,Alzheimer's disease,ICD-10,8664,,,01/16/2025
2014,Residence,Gender,Male,ALZ,Alzheimer's disease,ICD-10,3966,,,01/16/2025
2014,Residence,Race-Ethnicity,American Indian/Alaska Native,ALZ,Alzheimer's disease,ICD-10,34,,,01/16/2025
